subjID	gain	loss	choice
137	1.0	0.0	1
137	1.0	0.0	3
137	0.0	-1.0	3
137	0.0	-1.0	3
137	0.0	-1.0	2
137	0.0	-1.0	1
137	0.0	-1.0	3
137	1.0	0.0	3
137	0.0	-1.0	3
137	1.0	0.0	2
137	1.0	0.0	1
137	0.0	-1.0	1
137	0.0	-1.0	2
137	0.0	-1.0	2
137	1.0	0.0	3
137	1.0	0.0	3
137	0.0	-1.0	2
137	0.0	-1.0	1
137	0.0	-1.0	1
137	0.0	-1.0	1
137	0.0	-1.0	3
137	0.0	-1.0	3
137	0.0	-1.0	3
137	0.0	-1.0	3
137	0.0	-1.0	2
137	0.0	-1.0	3
137	1.0	0.0	1
137	1.0	0.0	1
137	1.0	0.0	1
137	0.0	-1.0	2
137	1.0	0.0	1
137	0.0	-1.0	1
137	1.0	0.0	3
137	0.0	-1.0	3
137	1.0	0.0	2
137	0.0	-1.0	3
137	0.0	-1.0	1
137	0.0	-1.0	1
137	0.0	-1.0	2
137	1.0	0.0	3
137	1.0	0.0	3
137	0.0	-1.0	3
137	1.0	0.0	2
137	0.0	-1.0	1
137	1.0	0.0	3
137	0.0	-1.0	3
137	0.0	-1.0	2
137	0.0	-1.0	3
137	0.0	-1.0	1
118	0.0	-1.0	1
118	0.0	-1.0	2
118	1.0	0.0	3
118	0.0	-1.0	3
118	0.0	-1.0	3
118	0.0	-1.0	3
118	1.0	0.0	3
118	0.0	-1.0	3
118	0.0	-1.0	3
118	0.0	-1.0	3
118	0.0	-1.0	3
118	1.0	0.0	3
118	0.0	-1.0	3
118	1.0	0.0	1
118	0.0	-1.0	1
118	1.0	0.0	1
118	1.0	0.0	1
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	1.0	0.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	0.0	-1.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	1.0	0.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
118	0.0	-1.0	2
120	0.0	-1.0	1
120	1.0	0.0	2
120	1.0	0.0	3
120	1.0	0.0	2
120	0.0	-1.0	1
120	0.0	-1.0	3
120	1.0	0.0	3
120	0.0	-1.0	3
120	0.0	-1.0	2
120	0.0	-1.0	2
120	0.0	-1.0	3
120	1.0	0.0	1
120	0.0	-1.0	2
120	0.0	-1.0	3
120	1.0	0.0	2
120	0.0	-1.0	3
120	0.0	-1.0	2
120	1.0	0.0	3
120	0.0	-1.0	1
120	1.0	0.0	2
120	0.0	-1.0	3
120	0.0	-1.0	1
120	0.0	-1.0	2
120	1.0	0.0	2
120	1.0	0.0	2
120	1.0	0.0	1
120	1.0	0.0	2
120	0.0	-1.0	2
120	0.0	-1.0	2
120	0.0	-1.0	3
120	0.0	-1.0	2
120	0.0	-1.0	2
120	1.0	0.0	1
120	0.0	-1.0	2
120	0.0	-1.0	3
120	0.0	-1.0	1
120	1.0	0.0	2
120	0.0	-1.0	2
120	0.0	-1.0	1
120	0.0	-1.0	3
